#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
#交换机
.1.3.6.1.4.1.2011.1.1.1.11815,,SWITCH,Router,Huawei,ar18-15
.1.3.6.1.4.1.2011.1.1.1.11816,,SWITCH,Router,Huawei,ar18-16
.1.3.6.1.4.1.2011.1.1.1.12809,,SWITCH,Router,Huawei,ar28-09
.1.3.6.1.4.1.2011.1.1.1.12810,,SWITCH,Router,Huawei,ar28-10
.1.3.6.1.4.1.2011.1.1.1.12811,,SWITCH,Router,Huawei,ar28-11
.1.3.6.1.4.1.2011.1.1.1.12830,,SWITCH,Router,Huawei,ar28-30
.1.3.6.1.4.1.2011.1.1.1.12831,,SWITCH,Router,Huawei,ar28-31
.1.3.6.1.4.1.2011.1.1.1.12840,,SWITCH,Router,Huawei,ar28-40
.1.3.6.1.4.1.2011.1.1.1.12880,,SWITCH,Router,Huawei,ar28-80
.1.3.6.1.4.1.2011.1.1.1.1600,,SWITCH,Router,Huawei,quidway1600
.1.3.6.1.4.1.2011.1.1.1.1602,,SWITCH,Router,Huawei,quidway1602
.1.3.6.1.4.1.2011.1.1.1.1612,,SWITCH,Router,Huawei,quidway1612
.1.3.6.1.4.1.2011.1.1.1.1613,,SWITCH,Router,Huawei,quidway1613
.1.3.6.1.4.1.2011.1.1.1.1614,,SWITCH,Router,Huawei,quidway1614
.1.3.6.1.4.1.2011.1.1.1.1615,,SWITCH,Router,Huawei,quidway1615
.1.3.6.1.4.1.2011.1.1.1.1760,,SWITCH,Router,Huawei,quidway1760
.1.3.6.1.4.1.2011.1.1.1.1761,,SWITCH,Router,Huawei,quidway1760B
.1.3.6.1.4.1.2011.1.1.1.2501,,SWITCH,Router,Huawei,quidway2501
.1.3.6.1.4.1.2011.1.1.1.2509,,SWITCH,Router,Huawei,quidway2509
.1.3.6.1.4.1.2011.1.1.1.2511,,SWITCH,Router,Huawei,quidway2511
.1.3.6.1.4.1.2011.1.1.1.2601,,SWITCH,Router,Huawei,quidway2501E
.1.3.6.1.4.1.2011.1.1.1.2606,,SWITCH,Router,Huawei,quidway4001E
.1.3.6.1.4.1.2011.1.1.1.2608,,SWITCH,Router,Huawei,quidway2509E
.1.3.6.1.4.1.2011.1.1.1.2609,,SWITCH,Router,Huawei,quidway2511E
.1.3.6.1.4.1.2011.1.1.1.2610,,SWITCH,Router,Huawei,quidway2610
.1.3.6.1.4.1.2011.1.1.1.2611,,SWITCH,Router,Huawei,quidway2611
.1.3.6.1.4.1.2011.1.1.1.2620,,SWITCH,Router,Huawei,quidway2620
.1.3.6.1.4.1.2011.1.1.1.2621,,SWITCH,Router,Huawei,quidway2621
.1.3.6.1.4.1.2011.1.1.1.2630,,SWITCH,Router,Huawei,quidway2630
.1.3.6.1.4.1.2011.1.1.1.2631,,SWITCH,Router,Huawei,quidway2631
.1.3.6.1.4.1.2011.1.1.1.3640,,SWITCH,Router,Huawei,quidway3640
.1.3.6.1.4.1.2011.1.1.1.3680,,SWITCH,Router,Huawei,quidway3680
.1.3.6.1.4.1.2011.1.1.1.4001,,SWITCH,Router,Huawei,quidway4001
.1.3.6.1.4.1.2011.10.1.140,,SWITCH,Router,Huawei,ar29-01
.1.3.6.1.4.1.2011.10.1.141,,SWITCH,Router,Huawei,ar29-21
.1.3.6.1.4.1.2011.10.1.142,,SWITCH,Router,Huawei,ar29-41
.1.3.6.1.4.1.2011.10.1.143,,SWITCH,Router,Huawei,ar29-61
.1.3.6.1.4.1.2011.10.1.144,,SWITCH,Router,Huawei,ar49-45
.1.3.6.1.4.1.2011.10.1.145,,SWITCH,Router,Huawei,ar49-65
.1.3.6.1.4.1.2011.10.1.19,,SWITCH,Router,Huawei,ar18-50
.1.3.6.1.4.1.2011.10.1.20,,SWITCH,Router,Huawei,ar18-33E
.1.3.6.1.4.1.2011.10.1.21,,SWITCH,Router,Huawei,ar18-34E
.1.3.6.1.4.1.2011.10.1.50,,SWITCH,Router,Huawei,ar18-13V
.1.3.6.1.4.1.2011.10.1.51,,SWITCH,Router,Huawei,ar18-18V
.1.3.6.1.4.1.2011.10.1.53,,SWITCH,Router,Huawei,ar18-20S

#防火墙
.1.3.6.1.4.1.2011.10.1.132,,SECDEV,FireWall,Huawei,secBladeFW
.1.3.6.1.4.1.2011.10.1.23,,SECDEV,FireWall,Huawei,secpath100N
.1.3.6.1.4.1.2011.10.1.24,,SECDEV,FireWall,Huawei,secpath100V
.1.3.6.1.4.1.2011.10.1.25,,SECDEV,FireWall,Huawei,secpath100F
.1.3.6.1.4.1.2011.10.1.26,,SECDEV,FireWall,Huawei,secpath1000F
.1.3.6.1.4.1.2011.10.1.27,,SECDEV,FireWall,Huawei,secpath500F
.1.3.6.1.4.1.2011.10.1.28,,SECDEV,FireWall,Huawei,secpath10F
.1.3.6.1.4.1.2011.10.1.29,,SECDEV,FireWall,Huawei,secpath100FS
.1.3.6.1.4.1.2011.10.1.30,,SECDEV,FireWall,Huawei,secpath100FE
.1.3.6.1.4.1.2011.10.1.5,,SECDEV,FireWall,Huawei,secpath1000

#存储

