#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.82,,SWITCH,Switch,Cisco,cisco752
.1.3.6.1.4.1.9.1.83,,SWITCH,Switch,Cisco,cisco753
.1.3.6.1.4.1.9.1.92,,SWITCH,Switch,Cisco,ciscoPro765
.1.3.6.1.4.1.9.1.93,,SWITCH,Switch,Cisco,ciscoPro766
.1.3.6.1.4.1.9.1.98,,SWITCH,Switch,Cisco,cisco761
.1.3.6.1.4.1.9.1.99,,SWITCH,Switch,Cisco,cisco762
.1.3.6.1.4.1.9.1.102,,SWITCH,Switch,Cisco,cisco765
.1.3.6.1.4.1.9.1.103,,SWITCH,Switch,Cisco,cisco766
.1.3.6.1.4.1.9.1.104,,SWITCH,Switch,Cisco,ciscoPro2520
.1.3.6.1.4.1.9.1.105,,SWITCH,Switch,Cisco,ciscoPro2522
.1.3.6.1.4.1.9.1.106,,SWITCH,Switch,Cisco,ciscoPro2524
.1.3.6.1.4.1.9.1.107,,SWITCH,Switch,Cisco,ciscoLS1010
.1.3.6.1.4.1.9.1.108,,SWITCH,Switch,Cisco,cisco7206
.1.3.6.1.4.1.9.1.108,,SWITCH,Switch,Cisco,cisco7200
.1.3.6.1.4.1.9.1.109,,SWITCH,Switch,Cisco,ciscoAS5200
.1.3.6.1.4.1.9.1.110,,SWITCH,Switch,Cisco,cisco3640
.1.3.6.1.4.1.9.1.113,,SWITCH,Switch,Cisco,cisco1601
.1.3.6.1.4.1.9.1.114,,SWITCH,Switch,Cisco,cisco1602
.1.3.6.1.4.1.9.1.115,,SWITCH,Switch,Cisco,cisco1603
.1.3.6.1.4.1.9.1.116,,SWITCH,Switch,Cisco,cisco1604
.1.3.6.1.4.1.9.1.117,,SWITCH,Switch,Cisco,ciscoPro1601
.1.3.6.1.4.1.9.1.118,,SWITCH,Switch,Cisco,ciscoPro1602
.1.3.6.1.4.1.9.1.119,,SWITCH,Switch,Cisco,ciscoPro1603
.1.3.6.1.4.1.9.1.120,,SWITCH,Switch,Cisco,ciscoPro1604
.1.3.6.1.4.1.9.1.122,,SWITCH,Switch,Cisco,cisco3620
.1.3.6.1.4.1.9.1.125,,SWITCH,Switch,Cisco,cisco7204
.1.3.6.1.4.1.9.1.125,,SWITCH,Switch,Cisco,cisco7200
.1.3.6.1.4.1.9.1.126,,SWITCH,Switch,Cisco,cisco771
.1.3.6.1.4.1.9.1.127,,SWITCH,Switch,Cisco,cisco772
.1.3.6.1.4.1.9.1.128,,SWITCH,Switch,Cisco,cisco775
.1.3.6.1.4.1.9.1.129,,SWITCH,Switch,Cisco,cisco776
.1.3.6.1.4.1.9.1.130,,SWITCH,Switch,Cisco,ciscoPro2502
.1.3.6.1.4.1.9.1.131,,SWITCH,Switch,Cisco,ciscoPro2504
.1.3.6.1.4.1.9.1.132,,SWITCH,Switch,Cisco,ciscoPro2506
.1.3.6.1.4.1.9.1.133,,SWITCH,Switch,Cisco,ciscoPro2508
.1.3.6.1.4.1.9.1.134,,SWITCH,Switch,Cisco,ciscoPro2510
.1.3.6.1.4.1.9.1.135,,SWITCH,Switch,Cisco,ciscoPro2512
.1.3.6.1.4.1.9.1.136,,SWITCH,Switch,Cisco,ciscoPro2513
.1.3.6.1.4.1.9.1.137,,SWITCH,Switch,Cisco,ciscoPro2515
.1.3.6.1.4.1.9.1.138,,SWITCH,Switch,Cisco,ciscoPro2517
.1.3.6.1.4.1.9.1.139,,SWITCH,Switch,Cisco,ciscoPro2518
.1.3.6.1.4.1.9.1.140,,SWITCH,Switch,Cisco,ciscoPro2523
.1.3.6.1.4.1.9.1.141,,SWITCH,Switch,Cisco,ciscoPro2525
.1.3.6.1.4.1.9.1.142,,SWITCH,Switch,Cisco,ciscoPro4700
.1.3.6.1.4.1.9.1.147,,SWITCH,Switch,Cisco,ciscoPro316T
.1.3.6.1.4.1.9.1.148,,SWITCH,Switch,Cisco,ciscoPro316C
.1.3.6.1.4.1.9.1.149,,SWITCH,Switch,Cisco,ciscoPro3116
.1.3.6.1.4.1.9.1.150,,SWITCH,Switch,Cisco,catalyst116T
.1.3.6.1.4.1.9.1.151,,SWITCH,Switch,Cisco,catalyst116C
.1.3.6.1.4.1.9.1.152,,SWITCH,Switch,Cisco,catalyst1116
.1.3.6.1.4.1.9.1.153,,SWITCH,Switch,Cisco,ciscoAS2509RJ
.1.3.6.1.4.1.9.1.154,,SWITCH,Switch,Cisco,ciscoAS2511RJ
.1.3.6.1.4.1.9.1.157,,SWITCH,Switch,Cisco,ciscoMC3810
.1.3.6.1.4.1.9.1.160,,SWITCH,Switch,Cisco,cisco1503
.1.3.6.1.4.1.9.1.161,,SWITCH,Switch,Cisco,cisco1502
.1.3.6.1.4.1.9.1.162,,SWITCH,Switch,Cisco,ciscoAS5300
.1.3.6.1.4.1.9.1.164,,SWITCH,Switch,Cisco,ciscoLS1015
.1.3.6.1.4.1.9.1.165,,SWITCH,Switch,Cisco,cisco2501FRADFX
.1.3.6.1.4.1.9.1.166,,SWITCH,Switch,Cisco,cisco2501LANFRADFX
.1.3.6.1.4.1.9.1.167,,SWITCH,Switch,Cisco,cisco2502LANFRADFX
.1.3.6.1.4.1.9.1.168,,SWITCH,Switch,Cisco,ciscoWSX5302
.1.3.6.1.4.1.9.1.169,,SWITCH,Switch,Cisco,ciscoFastHub216T
.1.3.6.1.4.1.9.1.169,,SWITCH,Switch,Cisco,ciscoFastHub
.1.3.6.1.4.1.9.1.170,,SWITCH,Switch,Cisco,catalyst2908xl
.1.3.6.1.4.1.9.1.170,,SWITCH,Switch,Cisco,catalyst2900
.1.3.6.1.4.1.9.1.171,,SWITCH,Switch,Cisco,catalyst2916m-xl
.1.3.6.1.4.1.9.1.171,,SWITCH,Switch,Cisco,catalyst2900
.1.3.6.1.4.1.9.1.172,,SWITCH,Switch,Cisco,cisco1605
.1.3.6.1.4.1.9.1.173,,SWITCH,Switch,Cisco,cisco12012,cisco12000
.1.3.6.1.4.1.9.1.175,,SWITCH,Switch,Cisco,catalyst1912C
.1.3.6.1.4.1.9.1.176,,SWITCH,Switch,Cisco,ciscoMicroWebServer2
.1.3.6.1.4.1.9.1.177,,SWITCH,Switch,Cisco,ciscoFastHubBMMTX
.1.3.6.1.4.1.9.1.177,,SWITCH,Switch,Cisco,ciscoFastHub
