UID        PID  PPID  C STIME TTY          TIME CMD
postfix   1688  1680  0 5月30 ?       00:00:13 qmgr -l -t unix -u
root      2170     1  0 5月30 ?       00:00:00 /usr/sbin/atd -f
root      2172     1  0 5月30 ?       00:01:02 /usr/sbin/crond -n
root      2176     1  0 5月30 tty1    00:00:00 /sbin/agetty --noclear tty1 linux
root      3032     2  0 03:23 ?        00:00:02 [kworker/2:0]
app       4151     1  0 6月05 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -s balantflow -a restartall
app       4153  4151  1 6月05 ?       10:12:53 /app/serverware/jdk/bin/java -Dinstance.name=balantflow -Dfastjson.parser.safeMode=true -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=9999,server=y,suspend=n -Xms2G -Xmx4G -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/balantflow -Dlog4j.priority=ERROR -Djava.io.tmpdir=/app/servers/balantflow/tmp -Djava.awt.headless=true -Dcom.sun.management.jmxremote.port=10099 -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=balantflow -Dtechsure.home=/app -Dhttp.port=8080 -Dhttps.port=9345 -Dshutdown.port=9184 -Dajp.port=9185 -Drmi.reg.port=9285 -Drmi.server.port=9286 -javaagent:/app/systems/balantflow/javaagent/tsapm-javaagent.jar -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/balantflow -Dcatalina.home=/app/servers/balantflow -Djava.io.tmpdir=/app/servers/balantflow/tmp org.apache.catalina.startup.Bootstrap start
app       5021     1  0 5月30 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -all -s balantflow_test -a startall -m parallel
app       5023  5021  0 5月30 ?       01:00:27 /app/serverware/jdk/bin/java -Dinstance.name=balantflow_test -Dfastjson.parser.safeMode=true -Xdebug -Xnoagent -Xrunjdwp:transport=dt_socket,address=9066,server=y,suspend=n -Xms2G -Xmx4G -XX:+UseConcMarkSweepGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+HeapDumpOnOutOfMemoryError -verbose:gc -Xloggc:logs/gc.log -Dlog4j.home=/app/logs/balantflow_test -Dlog4j.priority=ERROR -Djava.io.tmpdir=/app/servers/balantflow_test/tmp -Djava.awt.headless=true -Dcom.sun.management.jmxremote.port=10088 -Dcom.sun.management.jmxremote -Dcom.sun.management.jmxremote.authenticate=false -Dcom.sun.management.jmxremote.ssl=false -DINSTANCE_NAME=balantflow_test -Dtechsure.home=/app -Dhttp.port=8088 -Dhttps.port=8345 -Dshutdown.port=8184 -Dajp.port=8185 -Drmi.reg.port=8285 -Drmi.server.port=8286 -javaagent:/app/systems/balantflow/javaagent/tsapm-javaagent.jar -Dbind.ip= -Dvip= -Djava.endorsed.dirs=/app/serverware/tomcat/common/endorsed -Dcatalina.base=/app/servers/balantflow_test -Dcatalina.home=/app/servers/balantflow_test -Djava.io.tmpdir=/app/servers/balantflow_test/tmp org.apache.catalina.startup.Bootstrap start
app       5029     1  0 5月30 ?       00:00:00 /usr/bin/perl /app/serveradmin/bin/serveradmin -all -s asmwechat -a startall -m parallel
